,State,2018 Population
8,Alabama,"4,887,681"
9,Alaska,"735,139"
10,Arizona,"7,158,024"
11,Arkansas,"3,009,733"
12,California,"39,461,588"
13,Colorado,"5,691,287"
14,Connecticut,"3,571,520"
15,Delaware,"965,479"
16,District of Columbia,"701,547"
17,Florida,"21,244,317"
18,Georgia,"10,511,131"
19,Hawaii,"1,420,593"
20,Idaho,"1,750,536"
21,Illinois,"12,723,071"
22,Indiana,"6,695,497"
23,Iowa,"3,148,618"
24,Kansas,"2,911,359"
25,Kentucky,"4,461,153"
26,Louisiana,"4,659,690"
27,Maine,"1,339,057"
28,Maryland,"6,035,802"
29,Massachusetts,"6,882,635"
30,Michigan,"9,984,072"
31,Minnesota,"5,606,249"
32,Mississippi,"2,981,020"
33,Missouri,"6,121,623"
34,Montana,"1,060,665"
35,Nebraska,"1,925,614"
36,Nevada,"3,027,341"
37,New Hampshire,"1,353,465"
38,New Jersey,"8,886,025"
39,New Mexico,"2,092,741"
40,New York,"19,530,351"
41,North Carolina,"10,381,615"
42,North Dakota,"758,080"
43,Ohio,"11,676,341"
44,Oklahoma,"3,940,235"
45,Oregon,"4,181,886"
46,Pennsylvania,"12,800,922"
47,Rhode Island,"1,058,287"
48,South Carolina,"5,084,156"
49,South Dakota,"878,698"
50,Tennessee,"6,771,631"
51,Texas,"28,628,666"
52,Utah,"3,153,550"
53,Vermont,"624,358"
54,Virginia,"8,501,286"
55,Washington,"7,523,869"
56,West Virginia,"1,804,291"
57,Wisconsin,"5,807,406"
58,Wyoming,"577,601"
60,,"3,193,354"
