,Consumption Rank,Code,"Total Energy Consumed per Capita, million Btu"
0,1,WY,967
1,2,LA,945
2,3,ND,872
3,4,AK,830
4,5,IA,513
5,6,TX,498
6,7,NE,475
7,8,WV,462
8,9,SD,452
9,10,OK,433
10,11,IN,424
11,12,MT,410
12,13,MS,400
13,14,AL,400
14,15,KY,391
15,16,KS,390
16,17,AR,372
17,18,MN,341
18,19,NM,336
19,20,TN,333
20,21,SC,329
21,22,WI,325
22,23,OH,322
23,24,ID,316
24,25,IL,315
25,26,PA,310
26,27,MO,302
27,28,DE,301
28,29,ME,295
29,30,MI,290
30,31,VA,283
31,32,WA,276
32,33,GA,274
33,34,CO,266
34,35,UT,265
35,36,NJ,252
36,37,NC,252
37,38,DC,249
38,39,OR,242
39,40,NV,240
40,41,NH,240
41,42,MD,226
42,43,VT,223
43,44,MA,212
44,45,CT,211
45,46,AZ,208
46,47,HI,206
47,48,CA,202
48,49,FL,202
49,50,NY,197
50,51,RI,187
